Country,latitude,Longitude,2015(Total),pct_2015,2016(Total),pct_2016,2017(Total),pct_2017,pct_2018,avg_pct,DestLat,DestLong
India,20.593684,78.96288,45913,18.16099774,48101,18.86454285,48330,19.82330068,26.18343378,20.75806876,-37.0201,144.9646
China Peoples Rep,35.86166,104.195397,37658,14.89571261,37198,14.58853797,36674,15.04241112,16.07861094,15.15131816,-37.0201,144.9646
Philippines,12.879721,121.774017,14600,5.775065167,14927,5.854161683,14466,5.933454742,3.930547133,5.373307181,-37.0201,144.9646
United Kingdom,55.378051,-3.435973,14590,5.771109643,13531,5.306669909,12956,5.314104773,3.065480242,4.864341142,-37.0201,144.9646
Pakistan,30.375321,69.345116,8978,3.551269525,8562,3.357897255,9336,3.829305508,3.738722572,3.619298715,-37.0201,144.9646
Vietnam,14.058324,108.277199,8381,3.315124737,8946,3.508496712,8724,3.578284196,4.178062696,3.644992085,-37.0201,144.9646
Nepal,28.394857,84.124008,8059,3.187756862,8197,3.214749334,8324,3.414217978,1.941759588,2.939620941,-37.0201,144.9646
Sri Lanka,7.873054,80.771797,5223,2.065970231,4670,1.831509014,4677,1.918344244,3.320421271,2.28406119,-37.0201,144.9646
Malaysia,4.210484,101.975766,4792,1.895487143,4680,1.835430875,4865,1.995455366,2.284568642,2.002735507,-37.0201,144.9646
Thailand,15.870032,100.992541,4578,1.810838927,4840,1.898180649,4261,1.747715378,1.605138423,1.765468344,-37.0201,144.9646
Korea,35.907757,127.766922,4416,1.746759437,4194,1.644828438,4187,1.717363128,0.952934916,1.51547148,-37.0201,144.9646
Ireland,53.41291,-8.24389,4247,1.67991108,3692,1.447951024,2833,1.161998983,0.47522988,1.191272742,-37.0201,144.9646
Bangladesh,23.684994,90.356331,4148,1.640751391,3529,1.384024692,3186,1.306787419,0.797000111,1.282140903,-37.0201,144.9646
South Africa,-30.559482,22.937506,4128,1.632840343,4364,1.711500073,4815,1.974947089,0.827939557,1.536806766,-37.0201,144.9646
Iran,32.427908,53.688046,4011,1.586560711,3750,1.470697817,3985,1.634509688,1.311832481,1.500900174,-37.0201,144.9646
Iraq,33.223191,43.679291,3829,1.514570173,8683,3.405351771,6653,2.728831356,1.321733104,2.242621601,-37.0201,144.9646
U.S.A.,37.09024,-95.712891,3786,1.497561419,3766,1.476972794,3904,1.601286279,1.230152346,1.45149321,-37.0201,144.9646
Indonesia,-0.789275,113.921327,3130,1.238079039,3104,1.217345606,3136,1.286279142,1.391037461,1.283185312,-37.0201,144.9646
Afghanistan,33.93911,67.709953,3113,1.231354648,3344,1.311470266,3707,1.520483667,1.694244026,1.439388152,-37.0201,144.9646
Syria,34.802075,38.996815,2388,0.944579152,7762,3.044148388,4211,1.727207101,0.830414712,1.636587338,-37.0201,144.9646
Burma,21.913965,95.956223,1998,0.790313713,2063,0.809079892,1454,0.596380699,1.221489301,0.854315901,-37.0201,144.9646
Canada,56.130366,-106.346771,1905,0.753527339,1826,0.71613179,2033,0.833866549,0.501219014,0.701186173,-37.0201,144.9646
Singapore,1.352083,103.819836,1780,0.704083288,1825,0.715739604,1751,0.718199865,0.660866552,0.699722327,-37.0201,144.9646
Brazil,-14.235004,-51.92528,1759,0.695776687,1800,0.705934952,2301,0.943790914,0.517307526,0.71570252,-37.0201,144.9646
Germany,51.165691,10.451526,1734,0.685887877,1643,0.644361737,1358,0.557004807,0.412113412,0.574841958,-37.0201,144.9646
France,46.227638,2.213749,1709,0.675999066,1624,0.636910201,1802,0.739118308,0.46409168,0.629029814,-37.0201,144.9646
Italy,41.87194,12.56738,1606,0.635257168,1683,0.66004918,2050,0.840839363,0.636114996,0.693065177,-37.0201,144.9646
Japan,36.204824,138.252924,1602,0.633674959,1497,0.587102568,1647,0.675542649,0.397262478,0.573395664,-37.0201,144.9646
Taiwan,23.69781,120.960515,1601,0.633279406,1674,0.656519505,2001,0.820741251,0.632402262,0.685735606,-37.0201,144.9646
Lebanon,33.854721,35.862285,1579,0.624577253,1756,0.688678764,1843,0.755935095,0.591562194,0.665188327,-37.0201,144.9646
Colombia,4.570868,-74.297333,1450,0.573550993,1355,0.531412144,1603,0.657495365,0.675717486,0.609543997,-37.0201,144.9646
Egypt,26.820553,30.802498,1417,0.560497763,1389,0.544746471,1366,0.560286131,0.376223655,0.510438505,-37.0201,144.9646
Cambodia,12.565679,104.990963,1338,0.529249123,1388,0.544354285,1254,0.514347591,0.936846404,0.631199351,-37.0201,144.9646
New Zealand,-40.900557,174.885971,1276,0.504724874,1160,0.454935858,981,0.402372397,0.872492358,0.558631372,-37.0201,144.9646
Fiji,-16.578193,179.414413,1221,0.482969491,1136,0.445523392,1031,0.422880675,0.275979852,0.406838353,-37.0201,144.9646
Zimbabwe,-19.015438,29.154857,1096,0.43352544,1080,0.423560971,1141,0.467998884,0.247515563,0.393150215,-37.0201,144.9646
Kenya,-0.023559,37.906193,1068,0.422449973,1039,0.407481342,1007,0.413036702,0.293305942,0.38406849,-37.0201,144.9646
United Arab Emirates,23.424076,53.847818,921,0.364303768,931,0.365125245,1020,0.418368854,0.361372721,0.377292647,-37.0201,144.9646
Nigeria,9.081999,8.675277,867,0.342943938,971,0.380812688,1157,0.474561533,0.314344764,0.378165731,-37.0201,144.9646
Mauritius,-20.348404,57.552152,836,0.330681814,796,0.312180123,669,0.274400748,0.410875834,0.33203463,-37.0201,144.9646
Ethiopia,9.145,40.489673,834,0.329890709,869,0.340809707,844,0.346179718,0.595274928,0.403038766,-37.0201,144.9646
Turkey,38.963745,35.243322,797,0.31525527,804,0.315317612,903,0.370379485,0.487605658,0.372139506,-37.0201,144.9646
Poland,51.919438,19.145136,789,0.31209085,765,0.300022355,874,0.358484684,0.225239162,0.298959263,-37.0201,144.9646
Democratic Republic Of Congo,-4.038333,21.758664,647,0.255922408,561,0.220016393,404,0.165706879,0.300731408,0.235594272,-37.0201,144.9646
Russian Federation,61.52401,105.318756,611,0.241682522,647,0.253744397,844,0.346179718,0.303206564,0.2862033,-37.0201,144.9646
Saudi Arabia,23.885942,45.079162,586,0.231793712,611,0.239625698,754,0.309264819,0.306919298,0.271900882,-37.0201,144.9646
Somalia,5.152149,46.199616,585,0.231398159,411,0.161188481,324,0.132893636,0.160885116,0.171591348,-37.0201,144.9646
Netherlands,52.132633,5.291266,547,0.216367168,547,0.214525788,701,0.287526046,0.184399094,0.225704524,-37.0201,144.9646
Spain,40.463667,-3.74922,486,0.192238471,444,0.174130621,533,0.218618234,0.153459649,0.184611744,-37.0201,144.9646
Greece,39.074208,21.824312,476,0.188282947,441,0.172954063,473,0.194008302,0.261128918,0.204093558,-37.0201,144.9646
Sweden,60.128161,18.643501,471,0.186305185,459,0.180013413,494,0.202621778,0.137371137,0.176577878,-37.0201,144.9646
Jordan,30.585164,36.238414,451,0.178394136,605,0.237272581,408,0.167347541,0.105194114,0.172052093,-37.0201,144.9646
Eritrea,15.179384,39.782334,436,0.17246085,319,0.125107361,449,0.184164329,0.157172382,0.159726231,-37.0201,144.9646
Ukraine,48.379433,31.16558,426,0.168505326,414,0.162365039,430,0.176371183,0.174498472,0.170435005,-37.0201,144.9646
Bhutan,27.514162,90.433601,423,0.167318669,566,0.221977324,662,0.271529589,0.064354046,0.181294907,-37.0201,144.9646
Mexico,23.634501,-102.552784,421,0.166527564,408,0.160011922,440,0.180472839,0.185636672,0.173162249,-37.0201,144.9646
Papua New Guinea,-6.314993,143.95555,415,0.16415425,374,0.146677596,292,0.119768339,0.032177023,0.115694302,-37.0201,144.9646
Hungary,47.162494,19.503304,386,0.15268323,360,0.14118699,361,0.148069761,0.051978268,0.123479562,-37.0201,144.9646
Venezuela,6.42375,-66.58973,378,0.14951881,399,0.156482248,378,0.155042575,0.124995359,0.146509748,-37.0201,144.9646
Sudan,12.862807,30.217636,378,0.14951881,353,0.138441688,436,0.178832177,0.115094737,0.145471853,-37.0201,144.9646
Peru,-9.189967,-75.015152,358,0.141607762,344,0.134912013,413,0.169398369,0.091580758,0.134374726,-37.0201,144.9646
Argentina,-38.416097,-63.616672,351,0.138838895,342,0.134127641,337,0.138225788,0.128708093,0.134975104,-37.0201,144.9646
Romania,45.943161,24.96676,349,0.138047791,301,0.118048011,257,0.105412545,0.127470515,0.122244716,-37.0201,144.9646
Ghana,7.946527,-1.023194,348,0.137652238,343,0.134519827,313,0.128381815,0.060641313,0.115298798,-37.0201,144.9646
Grand Total,,,230680,91.24602964,240163,94.1885866,235023,96.39833637,92.49409057,93.5817608,,
